Album,Artist,Genre 1,Genre 2,Genre 3,User Submitted
Leprosy,Death,Death Metal,,,Nate
Reflection,Father2006,Vaporwave,Drone,Ambient,liv
Intoxxxicated,SpaceGhostPurrp,Dark Trap,Cloud Rap,,DCDUKE
In The Land of Grey and Pink,Caravan,Progressive Rock,,,glootte
Funkentelechy vs. the Placebo Syndrome,Parliament,Funk,,,gabriel
Hot Rats,Frank Zappa,Jazz Rock,Jazz Fusion,,z33p
I Want to Be There,Sadness,Blackgaze. Post-Metal,,,*ant
Watch My Back,LUCKI,Cloud Rap,Plugg,,Kaotic
Sin Miedo,Kali Uchis,Contemporary R&B,Neo-Soul,,aliyah
pom pom,Ariel Pink,Hypnagogic Pop,Psychedelic Pop,,Moonlit Warrior Ortvgal
Mercurial World,Magdalena Bay,Synthpop,Electropop,,owen
Simple.,IDK,Hip House,Jazz Rap,,Swegify
Post,Björk,Art Pop,Electronic,,terry j
Zapper,NANORAY,Breakcore,,,gregory
L'étreinte imaginaire,Auscultation,Ambient House,,,zym
FIRST LIGHT,Makoto Matsushita,City Pop,,,hobo
Shook - EP,Vivienne Eastwood,Shoegaze,Dream Pop,,lego
"Hello, I've Made Some Songs For You",H.P. Luna,Hypnagogic Pop,Slacker Rock,,seraphiel
Extra Flavor (Dandelion Gum-Era Session),Black Moth Super Rainbow,Psychedelic Pop,,,Theo
another eternity,Purity Ring,Synthpop,Electropop,,Ciel
Not Available,The Residents,Experimental,,,z33p
Pass The Distance,Simon Finn,Psychedelic Folk,Singer-Songwriter,,gabriel
weight of the world,MIKE,Abstract Hip Hop,,,gregory
Les Cinq Saisons,Harmonium,Progressive Folk,,,glootte
MY SWEET HONEY BUNNY,Sonic Dragolgo,Speedcore,,,DCDUKE
Sketches from New Brighton,Loscil,Ambient,,,corphish
TREES,Avantdale Bowling Club,Jazz Rap,Conscious Hip Hop,,Armani
Close to the Edge,Yes,Art Rock,Progressive Rock,,Kaotic
On This Perfect Day,Guilt Machine,Progressive Rock,,,Nate
之 / OF,LI YILEI,Electronic,IDM,,Damon
Re-Simulate,11ai,Drum & Bass,Techno,,HondaS2000
木洩陽通りにて,Lamp,City Pop,,,hobo
Maps of Non-Existent Places,Thank You Scientist,Jazz Fusion,Progressive Rock,,Bacchus
You're Living All Over Me,Dinosaur Jr.,Noise Rock,,,zym
C3L3STIAL天の,bliss3three,Vaporwave,HexD,,Moonlit Warrior Ortvgal
World is so Beautiful,Masakatsu Takagi,Sound Collage,Folktronica,,Theo
Somewhere City,Origami Angel,Emo,Pop Punk,,owen
Ceres & Calypso in the Deep Time,Candy Claws,Dream Pop,Shoegaze,,julia
Eviscerated,Funeral,Digicore,Trap,,oliver
Flux,Love Spirals Downwards,Dream Pop,,,Tomato
Safe in the Hands of Love,Yves Tumor,Neo-Psychedelia,Art Pop,,terriyaki
You'd Prefer An Astronaut,Hum,Post Hardcore,Emo,,Clock
Limbo,Aminé,West Coast Hip Hop,Pop Rap,,Swegify
Plant Franklin,Deadharrie,Slowcore,,,lego
II,Wilson Tanner,Ambient,,,liv
Blodhundar & Lullabies,jonatan leandoer96,Indie Folk,Art Pop,,terry
Giving the World Away,Hatchie,Dream Pop,Shoegaze,,jwebb
Eunoia,Invalids,Math Rock,Emo,,Ultra
Union,Polaris,Dream Pop,Indie Pop,,*ant
ゼロコンマ、色とりどりの世界,MASS OF THE FERMENTING DREGS,J-Rock,,,Tomato
Closer,Joy Division,Post Punk,Gothic Rock,,terry
Satori,Flower Travellin' Band,Heavy Psych,,,glootte
Timely!!,Anri,City Pop,,,jahquavious
Figure 8,Elliott Smith,Singer-Songwriter,Indie Pop,,lego
Shade,Grouper,Ambient,Drone,,liv
Begin,The Millennium,Sunshine Pop,Psychedelic Pop,,gabriel
10 Chambers,Govlink,Breakcore,Footwork,,HondaS2000
An When,Tonstartssbandht,Noise Pop,Psychedelic Pop,Slacker Rock,Moonlit Warrior Ortvgal
Ashes Against the Grain,Agalloch,Post Metal,Neofolk,Atmospheric Black Metal,Nate
The Dead And Dreaming,Dry Kill Logic,Metalcore,Nu Metal,,Bacchus
Волшебство,Даша и Серёжа,Dream Pop,Indie Pop,,Райан К (???)
Wide Berth,Tha God Fahim & Mach-Hommy,Hardcore Hip Hop,,,Armani
GAMI GANG,Origami Angel,Emo,Pop Punk,,owen
Troupeau bleu,Cortex,Jazz Funk,Jazz Pop,,zym
Tidal,Fiona Apple,Art Pop,Indie Pop,,Kaotic
3.15.20,Childish Gambino,Neo-Soul,Contemporary R&B,,Swegify
D>E>A>T>H>M>E>T>A>L,Panchiko,Indie Rock,Dream Pop,,Ciel
Fahrenheit Fair Enough,Telefon Tel Aviv,IDM,,,Theo
154,Wire,Post Punk,Experimental Rock,,z33p
Air Guitar,Sobs,Power Pop,,,DCDUKE
Civilisation,Kero Kero Bonito,Art Pop,Synth Pop,,gregory
STILL STRUGLIN STILL SHINNIN,Black Kray,Cloud Rap,Trap,,hobo
Amerikkas Most Blunted,Chuuwee & Trizz,Jazz Rap,,,Lele
The Asymptotical World EP,Yves Tumor,Neo-Psychedelia,Pop Rock,,terriyaki
AERIAL LOVE FEED,Aerial Love Feed,Shoegaze,Dream Pop,,lemon
I Love You Jennifer B,Jockstrap,Glitch Pop,Art Pop,,jwebb
Parallelograms,Linda Perhacs,Art Rock,Psychedelic Folk,,liv
A Wizard / A True Star,Todd Rundgren,Art Pop,Experimental Rock,,owen
You Don't Mess Around With Jim,Jim Croce,Folk Pop,Folk Rock,,Bacchus
Bryter Layter,Nick Drake,Folk,Baroque Pop,,terriyaki
"Never Mind The Bollocks, Here's The Sex Pistols",Sex Pistols,Punk Rock,,,Don-Q
Curtis,Curtis Mayfield,Chicago Soul,Funk,,Swegify
